Pin ID,Filename,Board,Title,Description,Destination URL,Alt Text,Keywords,UTM Content,Recommended Publish Date,Recommended Publish Time,Priority,Status
PIN-36,pin-36-deals.png,Deal Alerts & Restocks,15-Second Sudden Live Auctions Explained,Experience rapid-fire bidding where deals start fast and anything can happen live on stream. Learn how sudden death auctions work.,https://thequadguy.github.io/whatnot-finds/deals/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin36,15-Second Sudden Live Auctions Explained graphic.,"15 second auctions, sudden death live auction, live shopping bargains, deal alerts",pin36,2026-08-27,10:00 AM EST,STANDARD,READY
PIN-35,pin-35-beauty.png,Live Shopping Deals & Finds,Dewy Glass Skin & Barrier Care Swatches,Watch trending K-Beauty serums and cushion foundations demonstrated on real skin live. See hydration textures in real time.,https://thequadguy.github.io/whatnot-finds/beauty/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin35,Dewy glass skin and barrier care swatches graphic.,"dewy glass skin, k beauty swatches, barrier serums live, cushion foundation swatch",pin35,2026-09-05,10:00 AM EST,STANDARD,READY
PIN-40,pin-40-discovery.png,Live Shopping Deals & Finds,The Interactive Way to Discover Rare Finds,"Live unboxings, passionate independent hosts, and real-time chat across every collector category. Join the live discovery community.",https://thequadguy.github.io/whatnot-finds/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin40,The interactive way to discover rare finds graphic.,"interactive live shopping, rare finds discovery, collector community, online live auctions",pin40,2026-09-05,04:30 PM EST,STANDARD,READY
PIN-32,pin-32-sneakers.png,Sneaker & Streetwear Deals,What Sneakerheads Find in Live Stream Auctions,"From Jordan 1 grails to vintage Nike SB Dunks, watch real-time condition checks on 4K camera and bid live with fellow sneakerheads.",https://thequadguy.github.io/whatnot-finds/sneakers/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin32,What sneakerheads find in live stream auctions graphic.,"jordan 1 grails, vintage sb dunks, live sneaker stream, sneaker condition video",pin32,2026-09-06,04:30 PM EST,STANDARD,READY
PIN-34,pin-34-collectibles.png,Toys & Collectible Figures,Secret Chase Figures & Art Toys Live,Watch streamers open blind boxes and inspect limited vinyl collectibles live on camera. Discover secret variants and creator figures.,https://thequadguy.github.io/whatnot-finds/collectibles/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin34,Secret chase figures and art toys live spotlight graphic.,"blind box unboxing, secret chase figure, vinyl art toys, designer toy unboxings",pin34,2026-09-07,04:30 PM EST,STANDARD,READY
PIN-33,pin-33-fashion.png,Rare & Vintage Finds,Vintage Leather & Designer Denim Live,"Watch curators inspect distressing, hardware, and stitching close-up before auctions begin. Discover rare archive fashion pieces live.",https://thequadguy.github.io/whatnot-finds/fashion/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin33,Vintage leather and designer denim live showcase graphic.,"vintage leather jacket, archive denim, live stylist show, designer vintage thrifting",pin33,2026-09-08,04:30 PM EST,STANDARD,READY
PIN-39,pin-39-collectibles.png,Toys & Collectible Figures,Rare Anime Statues & Studio Figures Live,"Inspect paint applications, scale details, and studio boxes on high-definition video before bidding on collectible anime statues.",https://thequadguy.github.io/whatnot-finds/collectibles/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin39,Rare anime statues and studio figures live graphic.,"anime statues, studio resin figures, scale anime collectibles, live figure unboxing",pin39,2026-09-09,10:00 AM EST,STANDARD,READY
PIN-31,pin-31-pokemon.png,Collector Tips & Guides,5 Secrets Pokemon Collectors Look for Live,"Centering, corner whitening, foil scratch checks, and live pack pulls. Learn what seasoned card collectors check during live box breaks.",https://thequadguy.github.io/whatnot-finds/pokemon/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin31,5 Secrets Pokemon collectors look for live listicle graphic.,"pokemon collector secrets, card condition checks, live pack pulls, trading card guide",pin31,2026-09-09,04:30 PM EST,STANDARD,READY
PIN-38,pin-38-fashion.png,Rare & Vintage Finds,Where Stylists Find Archive Luxury Pieces,"Live boutique try-ons, measurement checks, and runway pieces showcased in real time by independent fashion hosts.",https://thequadguy.github.io/whatnot-finds/fashion/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin38,Where stylists find archive luxury pieces graphic.,"archive luxury fashion, live boutique try-on, vintage runway pieces, curated designer fashion",pin38,2026-09-10,10:00 AM EST,STANDARD,READY
PIN-37,pin-37-pokemon.png,Trading Card Unboxings,Why Collectors Are Hunting Japanese Booster Boxes,Watch sealed booster boxes and illustration rare singles opened on live high-definition streams. Discover Japanese TCG releases.,https://thequadguy.github.io/whatnot-finds/pokemon/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin37,Why collectors hunt Japanese booster boxes graphic.,"japanese booster boxes, pokemon tcg unboxing, illustration rare cards, sealed pack break",pin37,2026-09-10,04:30 PM EST,STANDARD,READY
