Pin ID,Filename,Board,Title,Publish Date,Publish Time,Priority
PIN-36,pin-36-deals.png,Deal Alerts & Restocks,15-Second Sudden Live Auctions Explained,2026-08-27,10:00 AM EST,STANDARD
PIN-35,pin-35-beauty.png,Live Shopping Deals & Finds,Dewy Glass Skin & Barrier Care Swatches,2026-09-05,10:00 AM EST,STANDARD
PIN-40,pin-40-discovery.png,Live Shopping Deals & Finds,The Interactive Way to Discover Rare Finds,2026-09-05,04:30 PM EST,STANDARD
PIN-32,pin-32-sneakers.png,Sneaker & Streetwear Deals,What Sneakerheads Find in Live Stream Auctions,2026-09-06,04:30 PM EST,STANDARD
PIN-34,pin-34-collectibles.png,Toys & Collectible Figures,Secret Chase Figures & Art Toys Live,2026-09-07,04:30 PM EST,STANDARD
PIN-33,pin-33-fashion.png,Rare & Vintage Finds,Vintage Leather & Designer Denim Live,2026-09-08,04:30 PM EST,STANDARD
PIN-39,pin-39-collectibles.png,Toys & Collectible Figures,Rare Anime Statues & Studio Figures Live,2026-09-09,10:00 AM EST,STANDARD
PIN-31,pin-31-pokemon.png,Collector Tips & Guides,5 Secrets Pokemon Collectors Look for Live,2026-09-09,04:30 PM EST,STANDARD
PIN-38,pin-38-fashion.png,Rare & Vintage Finds,Where Stylists Find Archive Luxury Pieces,2026-09-10,10:00 AM EST,STANDARD
PIN-37,pin-37-pokemon.png,Trading Card Unboxings,Why Collectors Are Hunting Japanese Booster Boxes,2026-09-10,04:30 PM EST,STANDARD
